文部科学省　学校コード一覧,,,,,,,,,,更新日：,2026/5/20
学校コード,学校種,都道府県番号,"設置
区分",本分校,学校名,学校所在地,郵便番号,"属性情報
設定年月日","属性情報
廃止年月日","旧学校
調査番号",移行後の学校コード
A122210001023,A1(幼稚園),22(静岡),2(公),1(本),浜松市立中ノ町幼稚園,静岡県浜松市中央区中野町４２７－１,4350004,2020-12-22,,227105,
A122210001032,A1(幼稚園),22(静岡),2(公),1(本),浜松市立芳川幼稚園,静岡県浜松市中央区芳川町１９０,4300813,2020-12-22,,227106,
A122210001041,A1(幼稚園),22(静岡),2(公),1(本),浜松市立花川幼稚園,静岡県浜松市中央区花川町１９０８－１,4338109,2020-12-22,,227107,
A122210001050,A1(幼稚園),22(静岡),2(公),1(本),浜松市立三方原幼稚園,静岡県浜松市中央区三方原町２８４－７,4338105,2020-12-22,,227108,
A122210001069,A1(幼稚園),22(静岡),2(公),1(本),浜松市立豊岡幼稚園,静岡県浜松市中央区豊岡町２２,4338103,2020-12-22,,227109,
A122210001078,A1(幼稚園),22(静岡),2(公),1(本),浜松市立初生幼稚園,静岡県浜松市中央区初生町９９１,4338112,2020-12-22,,227110,
A122210001087,A1(幼稚園),22(静岡),2(公),1(本),浜松市立白脇幼稚園,静岡県浜松市中央区寺脇町２３０,4300841,2020-12-22,,227111,
A122210001096,A1(幼稚園),22(静岡),2(公),1(本),浜松市立飯田幼稚園,静岡県浜松市中央区飯田町１０１４,4350028,2020-12-22,,227112,
A122210001103,A1(幼稚園),22(静岡),2(公),1(本),浜松市立有玉幼稚園,静岡県浜松市中央区有玉南町５８５,4313122,2020-12-22,,227115,
A122210001112,A1(幼稚園),22(静岡),2(公),1(本),浜松市立万斛幼稚園,静岡県浜松市中央区中郡町８９５,4313111,2020-12-22,,227116,
A122210001121,A1(幼稚園),22(静岡),2(公),1(本),浜松市立橋爪幼稚園,静岡県浜松市中央区西ケ崎町１０６７,4313115,2020-12-22,,227117,
A122210001130,A1(幼稚園),22(静岡),2(公),9(廃),浜松市立和地幼稚園,静岡県浜松市中央区和地町１８３３－２,4311115,2020-12-22,2026-05-01,227121,
A122210001149,A1(幼稚園),22(静岡),2(公),1(本),浜松市立北庄内幼稚園,静岡県浜松市中央区舘山寺町１１０－６,4311209,2020-12-22,,227125,
A122210001158,A1(幼稚園),22(静岡),2(公),1(本),浜松市立村櫛幼稚園,静岡県浜松市中央区村櫛町３１９５,4311207,2020-12-22,,227126,
A122210001167,A1(幼稚園),22(静岡),2(公),1(本),浜松市立伊佐見幼稚園,静岡県浜松市中央区伊左地町５,4311111,2020-12-22,,227127,
A122210001176,A1(幼稚園),22(静岡),2(公),1(本),浜松市立神久呂幼稚園,静岡県浜松市中央区神ケ谷町７８８８,4328005,2020-12-22,,227128,
A122210001185,A1(幼稚園),22(静岡),2(公),1(本),磐田北こども園,静岡県磐田市見付２３５３番地１,4380086,2020-12-22,,227141,
A122210001194,A1(幼稚園),22(静岡),2(公),1(本),磐田南こども園,静岡県磐田市千手堂１０７５,4380057,2020-12-22,,227142,
A122210001201,A1(幼稚園),22(静岡),2(公),1(本),磐田市立大藤こども園,静岡県磐田市大久保６４０－５,4380002,2020-12-22,,227143,
A122210001210,A1(幼稚園),22(静岡),2(公),1(本),磐田市立向笠幼稚園,静岡県磐田市向笠竹之内３９７－１３,4380013,2020-12-22,,227144,
A122210001229,A1(幼稚園),22(静岡),2(公),1(本),磐田市立長野幼稚園,静岡県磐田市小島３６２－２,4380056,2020-12-22,,227145,
A122210001238,A1(幼稚園),22(静岡),2(公),9(廃),磐田市立岩田こども園,静岡県磐田市匂坂中９８７,4380004,2020-12-22,2021-05-27,227146,A222310001921
A122210001247,A1(幼稚園),22(静岡),2(公),1(本),磐田市立田原幼稚園,静岡県磐田市三ケ野９３６－１,4380027,2020-12-22,,227147,
A122210001256,A1(幼稚園),22(静岡),2(公),9(廃),磐田市立東部幼稚園,静岡県磐田市東貝塚２０５－１,4380037,2020-12-22,2025-05-01,227151,
A122210001265,A1(幼稚園),22(静岡),2(公),1(本),袋井市立袋井東幼稚園,静岡県袋井市国本２２８８,4370012,2020-12-22,,227160,
A122210001274,A1(幼稚園),22(静岡),2(公),9(廃),袋井市立若草幼稚園,静岡県袋井市堀越７６６－１,4370065,2020-12-22,2021-05-27,227161,A222210000817
A122210001283,A1(幼稚園),22(静岡),2(公),1(本),袋井市立今井幼稚園,静岡県袋井市太田７２３－１,4370052,2020-12-22,,227162,
A122210001292,A1(幼稚園),22(静岡),2(公),1(本),袋井市立三川幼稚園,静岡県袋井市友永１１３－１,4370004,2020-12-22,,227163,
A122210001309,A1(幼稚園),22(静岡),2(公),1(本),袋井市立田原幼稚園,静岡県袋井市新池１９０－１,4370043,2020-12-22,,227165,
A122210001318,A1(幼稚園),22(静岡),2(公),9(廃),袋井市立山梨幼稚園,静岡県袋井市春岡１丁目８番地の７,4370122,2020-12-22,2022-05-01,227166,A222210000853
A122210001327,A1(幼稚園),22(静岡),2(公),1(本),袋井市立袋井西幼稚園,静岡県袋井市川井５６８－１,4370064,2020-12-22,,227168,
A122210001336,A1(幼稚園),22(静岡),2(公),9(廃),袋井市立高南幼稚園,静岡県袋井市小川町１９－１,4370036,2020-12-22,2022-05-01,227169,A222310002038
A122210001345,A1(幼稚園),22(静岡),2(公),9(廃),袋井市立若葉幼稚園,静岡県袋井市久能１３１０,4370061,2020-12-22,2022-05-01,227170,A222210000862
A122210001354,A1(幼稚園),22(静岡),2(公),1(本),浜松市立二俣幼稚園,静岡県浜松市天竜区二俣町二俣１５８－２,4313314,2020-12-22,,227180,
A122210001363,A1(幼稚園),22(静岡),2(公),1(本),浜松市立熊幼稚園,静岡県浜松市天竜区熊２１５３,4313641,2020-12-22,,227181,
A122210001372,A1(幼稚園),22(静岡),2(公),1(本),浜松市立光明幼稚園,静岡県浜松市天竜区山東２３１４,4313303,2020-12-22,,227182,
A122210001381,A1(幼稚園),22(静岡),2(公),9(廃),浜松市立竜川幼稚園,静岡県浜松市天竜区横山町５４７,4313764,2020-12-22,2025-05-01,227185,
A122210001390,A1(幼稚園),22(静岡),2(公),1(本),浜松市立上阿多古幼稚園,静岡県浜松市天竜区西藤平１２６６－１,4313532,2020-12-22,,227186,
A122210001407,A1(幼稚園),22(静岡),2(公),1(本),浜松市立下阿多古幼稚園,静岡県浜松市天竜区両島７６２,4313426,2020-12-22,,227188,
A122210001416,A1(幼稚園),22(静岡),2(公),1(本),浜松市立中瀬幼稚園,静岡県浜松市浜名区中瀬３５３１,4340012,2020-12-22,,227200,
A122210001425,A1(幼稚園),22(静岡),2(公),1(本),浜松市立赤佐幼稚園,静岡県浜松市浜名区於呂３５２４ー６８,4340015,2020-12-22,,227202,
A122210001434,A1(幼稚園),22(静岡),2(公),1(本),浜松市立北浜東幼稚園,静岡県浜松市浜名区善地１５４６,4340025,2020-12-22,,227203,
A122210001443,A1(幼稚園),22(静岡),2(公),1(本),浜松市立北浜南幼稚園,静岡県浜松市浜名区寺島２４３６－３,4340035,2020-12-22,,227204,
A122210001452,A1(幼稚園),22(静岡),2(公),1(本),浜松市立北浜中央幼稚園,静岡県浜松市浜名区西美薗１６２４－１,4340033,2020-12-22,,227205,
A122210001461,A1(幼稚園),22(静岡),2(公),1(本),浜松市立北浜北幼稚園,静岡県浜松市浜名区小林１５２２－２,4340031,2020-12-22,,227206,
A122210001470,A1(幼稚園),22(静岡),2(公),9(廃),浜松市立平口幼稚園,静岡県浜松市浜名区平口２５８３,4340041,2020-12-22,2025-05-01,227208,
A122210001489,A1(幼稚園),22(静岡),2(公),1(本),浜松市立小松幼稚園,静岡県浜松市浜名区小松２４００,4340042,2020-12-22,,227209,
A122210001498,A1(幼稚園),22(静岡),2(公),1(本),浜松市立新原幼稚園,静岡県浜松市浜名区新原２３１５,4340003,2020-12-22,,227210,
A122210001504,A1(幼稚園),22(静岡),2(公),1(本),浜松市立宮口幼稚園,静岡県浜松市浜名区宮口１５２６－１,4340004,2020-12-22,,227211,
A122210001513,A1(幼稚園),22(静岡),2(公),1(本),浜松市立赤佐西幼稚園,静岡県浜松市浜名区於呂２２３５,4340015,2020-12-22,,227213,
A122210001522,A1(幼稚園),22(静岡),2(公),1(本),浜松市立上島幼稚園,静岡県浜松市浜名区上島２１７,4340011,2020-12-22,,227214,
A122210001531,A1(幼稚園),22(静岡),2(公),1(本),浜松市立内野幼稚園,静岡県浜松市浜名区内野１６４８－１,4340044,2020-12-22,,227220,
A122210001540,A1(幼稚園),22(静岡),2(公),1(本),森町立飯田幼稚園,静岡県周智郡森町飯田４０５８－１,4370222,2020-12-22,,227230,
A122210001559,A1(幼稚園),22(静岡),2(公),1(本),森町立園田幼稚園,静岡県周智郡森町谷中５１３－６,4370225,2020-12-22,,227231,
A122210001568,A1(幼稚園),22(静岡),2(公),1(本),森町立一宮幼稚園,静岡県周智郡森町一宮１８４５－２,4370226,2020-12-22,,227232,
A122210001577,A1(幼稚園),22(静岡),2(公),1(本),森町立森幼稚園,静岡県周智郡森町森２３２０,4370215,2020-12-22,,227233,
A122210001586,A1(幼稚園),22(静岡),2(公),9(廃),森町立三倉幼稚園,静岡県周智郡森町三倉７４０,4370208,2020-12-22,2024-05-01,227234,
A122210001595,A1(幼稚園),22(静岡),2(公),9(廃),森町立天方幼稚園,静岡県周智郡森町大鳥居７３,4370205,2020-12-22,2026-05-01,227235,
A122210001602,A1(幼稚園),22(静岡),2(公),1(本),浜松市立犬居幼稚園,静岡県浜松市天竜区春野町堀之内９８９－１,4370625,2020-12-22,,227240,
A122210001611,A1(幼稚園),22(静岡),2(公),1(本),浜松市立気田幼稚園,静岡県浜松市天竜区春野町気田６２４,4370605,2020-12-22,,227242,
A122210001620,A1(幼稚園),22(静岡),2(公),1(本),袋井市立浅羽南幼稚園,静岡県袋井市松原１７９３,4371117,2020-12-22,,227250,
A122210001639,A1(幼稚園),22(静岡),2(公),1(本),袋井市立浅羽西幼稚園,静岡県袋井市長溝８７３－１,4371126,2020-12-22,,227251,
A122210001648,A1(幼稚園),22(静岡),2(公),9(廃),袋井市立浅羽東幼稚園,静岡県袋井市浅羽２６１７－１,4371101,2020-12-22,2021-05-27,227252,A222210000826
A122210001657,A1(幼稚園),22(静岡),2(公),1(本),袋井市立浅羽北幼稚園,静岡県袋井市浅名４１,4371102,2020-12-22,,227253,
A122210001666,A1(幼稚園),22(静岡),2(公),1(本),磐田市立竜洋幼稚園,静岡県磐田市豊岡６６０５－６０,4380231,2020-12-22,,227270,
A122210001675,A1(幼稚園),22(静岡),2(公),1(本),磐田市立豊岡こども園,静岡県磐田市新開５４１,4380113,2020-12-22,,227280,
